id;title;address;status;type;price;init;price_type;fee_type;description;width;height;area;latitude;longitude
1;deposit maximize;virtual;A;A;7032;A;A;A;Facilitator;87133;7398;77138;42467;90564
2;connecting Future-proofed drive;info-mediaries alarm;A;A;79558;A;A;A;bypass Jewelery;53654;15992;40216;73521;44493
3;Lock Bacon;enable;A;A;90916;A;A;A;systems Hampshire;87724;79533;72578;89352;80896
4;Jersey Awesome Ball;end-to-end Developer bypass;A;A;75323;A;A;A;Cambridgeshire;98052;52896;39983;32922;67401
5;installation Awesome Music;back hacking Bacon;A;A;94078;A;A;A;Convertible Wooden navigating;64381;67864;67998;31078;77493
6;frictionless;Investment Buckinghamshire Borders;A;A;10702;A;A;A;Lebanese;90517;42638;95975;91159;62797
7;Personal Cheese Gloves;Rubber Checking;A;A;92928;A;A;A;Tasty Beauty Practical;1342;17729;95022;10520;57986
8;bypassing;Borders payment;A;A;70527;A;A;A;Mountain;44289;19444;83756;10972;76401
9;Meadow;feed content Account;A;A;40213;A;A;A;Senior York channels;87139;18229;35055;81139;2149
10;driver Bedfordshire;program Concrete Kansas;A;A;30258;A;A;A;concept Engineer;26925;6744;95025;46964;40899
